Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Ref1,Ref2,Label,Stage
844.390625,76,3548.333252,470.6410217,1517.307739,2933.333252,5601.922852,8208.461914,6139.487305,3954.743652,3815.0,2380.512695,2386.923096,2831.025635,3213.846191,1916.794922,7331.666504,39.99999237,fleece,articulators
844.3984375,76,2917.05127,1090.897461,972.9487305,1998.205078,4993.333496,6567.179688,76.15383911,29.74357986,770.5128174,6402.563965,2873.461426,0.384606421,3055.384521,542.5640869,1497.564087,5541.025879,fleece,articulators
844.40625,76,7319.102539,6840.769043,7028.077148,4033.974365,5028.205078,4815.769043,2784.615479,6350.769043,7691.153809,2112.179443,5255.384766,7970.897461,3516.025635,6911.282227,4549.487305,6604.358887,fleece,articulators
844.4140625,76,4293.333496,1798.461548,6140.512695,2779.871826,5274.487305,6181.794922,5502.436035,5636.538574,1730.384644,5522.94873,401.6666565,2442.435791,1058.333374,6659.871582,240.7692261,7030.256348,fleece,articulators
844.421875,76,5581.922852,115.8974304,7733.333496,5262.436035,1071.923096,2762.05127,7261.666504,653.8461304,6832.94873,5676.666504,6918.333496,8067.94873,332.8204956,6707.563965,3249.615479,970.2564087,fleece,articulators
844.4296875,76,6801.410156,2209.487061,2478.718018,8259.230469,3400.384521,3444.743652,6224.358887,3349.615479,4641.666504,8143.974609,5914.871582,5074.487305,5801.922852,6095.128418,6156.410156,7197.820313,fleece,articulators
844.4375,76,418.333313,3498.846191,5361.282227,4448.205078,553.5897217,2901.923096,2736.666748,7324.358887,375.0,6191.922852,3368.589844,562.6923218,161.1538391,3949.871826,7748.589844,7018.589844,fleece,articulators
844.4453125,76,7076.282227,4211.410156,1171.025635,1579.359009,7733.589844,992.1795044,3351.281982,7949.358887,2770.897461,3459.487061,5118.333496,2586.153809,1443.846191,6201.922852,141.7948608,239.743576,fleece,articulators
844.453125,76,3730.512939,5918.205078,3250.128174,1694.359009,7330.384766,6291.282227,2014.359009,4597.436035,7012.692383,3485.0,4723.846191,4831.794922,825.5128174,978.9743652,5192.05127,5893.589844,fleece,articulators
844.4609375,76,4460.0,8122.179688,6351.538574,2900.641113,4223.846191,3765.256348,5354.615234,803.8461304,5585.0,1488.974365,6684.102539,6320.128418,1784.871826,204.2307587,5882.179688,6754.358887,fleece,articulators
