Method,raw_imagined_train_mean,raw_imagined_train_std,raw_imagined_test_mean,raw_imagined_test_std,preprocessed_imagined_train_mean,preprocessed_imagined_train_std,preprocessed_imagined_test_mean,preprocessed_imagined_test_std,features_imagined_train_mean,features_imagined_train_std,features_imagined_test_mean,features_imagined_test_std,raw_inner_train_mean,raw_inner_train_std,raw_inner_test_mean,raw_inner_test_std,preprocessed_inner_train_mean,preprocessed_inner_train_std,preprocessed_inner_test_mean,preprocessed_inner_test_std,features_inner_train_mean,features_inner_train_std,features_inner_test_mean,features_inner_test_std
"KNeighborsClassifier(n_jobs=-2, n_neighbors=13)",0.976739501953125,0.0002317729192633,0.9676472981770834,0.0007526459467817,0.7290908279292377,0.0005177009190698,0.624028272888037,0.0002769045136138,0.2313483025531844,0.0027957300263117,0.0695925312339228,6.174322554008405e-05,0.9245747884114582,0.0002695853751811,0.88897705078125,0.002025999472472,0.6357358592913304,0.0008865679686596,0.4774143842223493,0.0016126330291026,0.2407518089673855,0.0026086935534052,0.0764918416568728,0.0049790085671674
"KNeighborsClassifier(n_jobs=-2, n_neighbors=139)",0.8197550455729168,0.0004948073936773,0.8112508138020834,0.0010194799833371,0.4339002355569527,0.0015425289456714,0.4069731882682252,0.0008865668879501,0.1072118207088747,0.0043186721002319,0.0645741000335112,0.0038196699626021,0.7134765625,0.0004076429596841,0.6982828776041666,0.0013749522769237,0.3199999194206979,0.0009665621180152,0.2847691346270232,0.0018928834334013,0.1178708176839087,0.0057095496852034,0.0752363488759563,0.0026931571303541
"KNeighborsClassifier(n_jobs=-2, n_neighbors=25)",0.9562601725260416,0.0002821881459865,0.9472737630208332,0.0008396765569609,0.643505592358983,0.0005647957315305,0.5679076785905254,0.0006297121377507,0.1761750920103645,0.0066096304912603,0.0670803656976716,0.0084221682337594,0.8804789225260418,0.0003777391915779,0.8503906249999998,0.0001604036730503,0.5242263891149385,0.0003821136799478,0.4151627898263948,0.001066488033834,0.1868349731336809,0.0055927669437147,0.0689671447923009,0.0035765225104243
KNeighborsClassifier(n_jobs=-2),0.9929423014322916,0.0001745173853678,0.9835123697916668,0.000479694738896,0.8461218636463053,0.0007001355741106,0.6984807002205663,0.0018158287735769,0.330718906862641,0.0060916643904208,0.0702214575987992,0.0087438067802426,0.9723795572916668,0.0001620467753233,0.9321126302083332,0.0019577564850865,0.7915462397505397,0.0005530397903389,0.5805732375155448,0.0015816431098375,0.3184958515762595,0.0029643967305244,0.0677140119602207,0.0027217081312397
"KNeighborsClassifier(n_jobs=-2, n_neighbors=53)",0.9174153645833334,0.0004971608110979,0.9081380208333334,0.0006445754321846,0.5498143178390478,0.0002924452813496,0.5004667585176855,0.001495328696607,0.1454524127817191,0.0090631458582861,0.0733542896789997,0.0046047639545856,0.8167989095052084,0.0005907146545037,0.7941650390625,0.002119411562521,0.4203949279487272,0.0003394855377332,0.350860738993523,0.000924422217772,0.1545414571235237,0.0111324046453929,0.0708397641939122,0.0101796951786349
"KNeighborsClassifier(n_jobs=-2, n_neighbors=89)",0.8733846028645833,0.000469014128692,0.8651000976562501,0.0016941846620598,0.48704297666382,0.0005656502792638,0.4490544671329315,0.0011901543521434,0.1203779674963514,0.0061300603545856,0.069586631361832,0.0095476747593865,0.7659525553385417,0.0003587542900097,0.7469401041666667,0.0018163562981996,0.3619385175956526,0.0005530686918021,0.313605996959005,0.0013850678686331,0.1188115514562511,0.00777130672732,0.0733590095766723,0.0093766793169313
LinearDiscriminantAnalysis(),0.1225250244140625,0.0002456112122164,0.1221354166666666,0.0013446463421918,0.1122615785540632,0.0003363837755072,0.1115889599142224,0.0007466506873714,0.3288401253918495,0.0177095180068877,0.10282131661442,0.01966694312396,0.1364064534505208,0.0006292313814038,0.1359659830729166,0.0013150522958327,0.1059532596949422,0.0004430721077682,0.1053968268037573,0.0011166130376884,0.3274294670846395,0.0049664512594842,0.0915360501567398,0.0147568680826831
"SVC(cache_size=2000, kernel='poly')",,,,,,,,,0.0796238244514106,0.0060826357090696,0.0413793103448275,0.0053933073774561,,,,,,,,,0.0741379310344827,0.0014535452187297,0.0413793103448275,0.0023458667001717
SVC(cache_size=2000),,,,,,,,,0.0799373040752351,0.0022166356777007,0.0470219435736677,0.0034339972257377,,,,,,,,,0.0752351097178683,0.0017871088167698,0.0401253918495297,0.0036557692130691
"SVC(cache_size=2000, kernel='sigmoid')",,,,,,,,,0.0727272727272727,0.0018143944988699,0.0463949843260188,0.0077803596526588,,,,,,,,,0.0691222570532915,0.0012539184952978,0.0426332288401253,0.0046917334003434
