Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,TP9,TP10,Event Id,Event Date,Event Duration
833.7500000000,75,2647.1794433594,6568.7177734375,263.5897216797,6576.5385742188,3146.6667480469,4946.4101562500,5459.1025390625,1495.3846435547,2786.0256347656,2269.4870605469,7254.3588867188,2464.8718261719,4678.5898437500,5904.3588867188,2704.6154785156,2190.2563476563,,,
833.7578125000,75,2252.5642089844,2121.1538085938,2210.5126953125,5683.4614257813,8117.6923828125,1255.6409912109,3315.8974609375,3793.7180175781,2028.4615478516,1276.1538085938,6965.5126953125,3337.5642089844,6865.8974609375,2482.3076171875,1890.2563476563,1694.4871826172,,,
833.7656250000,75,1365.0000000000,2720.5126953125,8347.6923828125,5421.5385742188,3193.5898437500,1313.0769042969,1531.1538085938,6944.8715820313,312.4358825684,5899.2309570313,1591.5384521484,3278.0769042969,8285.3847656250,2926.2819824219,3561.4101562500,4667.9487304688,,,
833.7734375000,75,3893.8461914063,4584.7436523438,7479.8715820313,4665.3847656250,841.1538085938,6247.8203125000,7455.6411132813,6337.4360351563,1009.1025390625,5712.0512695313,5939.4873046875,1602.9487304688,264.8717956543,8340.1279296875,4926.1538085938,7518.0771484375,,,
833.7812500000,75,6528.4614257813,7737.4360351563,2196.9230957031,3817.4357910156,2578.4614257813,4871.6665039063,2157.4357910156,1793.0769042969,974.4871826172,6273.7177734375,3094.4870605469,5093.2050781250,7001.5385742188,5702.0512695313,7958.9746093750,3897.3076171875,,,
833.7890625000,75,3918.8461914063,2254.3588867188,6004.8715820313,6718.7177734375,7963.3334960938,5194.8715820313,6772.4360351563,6556.2822265625,6871.5385742188,2930.5129394531,6089.2309570313,3134.2307128906,7081.7949218750,4628.2050781250,7372.4360351563,4676.5385742188,,,
833.7968750000,75,2193.5898437500,6096.2822265625,1672.4359130859,5010.0000000000,7540.3847656250,7128.5898437500,1215.1281738281,2026.2821044922,5325.2563476563,1822.9487304688,1030.2563476563,3636.7949218750,5753.2050781250,7239.7436523438,7266.2822265625,6816.5385742188,,,
833.8046875000,75,3515.1281738281,4105.6411132813,2222.3076171875,8332.8203125000,7412.9487304688,4010.1281738281,1888.8461914063,6885.3847656250,649.3589477539,5855.2563476563,5778.7177734375,2016.6666259766,3315.5129394531,6256.4101562500,4857.0512695313,3195.7692871094,,,
833.8125000000,75,1762.5640869141,8020.3847656250,4912.3076171875,3188.9743652344,6108.3334960938,6056.4101562500,6672.4360351563,6726.9228515625,7955.8974609375,7170.3847656250,1892.3077392578,5594.6152343750,8082.1796875000,6625.1284179688,1003.0769042969,1331.7949218750,,,
833.8203125000,75,2561.6667480469,3832.9487304688,6102.9487304688,7786.7949218750,3040.6411132813,7607.6923828125,1157.4359130859,4242.1796875000,8093.0771484375,1975.2563476563,3524.7436523438,5081.6665039063,5779.7436523438,815.1281738281,4835.7690429688,3400.2563476563,,,
833.8281250000,75,5702.4360351563,4592.1796875000,6419.6152343750,1532.4359130859,1843.3333740234,4190.7690429688,1496.7949218750,3689.7436523438,7854.6152343750,6162.6923828125,1021.2820434570,5039.4873046875,2292.6923828125,292.6922912598,5298.8461914063,5401.5385742188,,,
833.8359375000,75,7770.0000000000,413.2051086426,5485.6411132813,5334.3588867188,5758.8461914063,5600.2563476563,2947.5642089844,2116.6667480469,6265.6411132813,1994.2307128906,883.2051391602,3233.7180175781,6714.4873046875,4187.8203125000,667.8204956055,4406.2822265625,,,
833.8437500000,75,1366.9230957031,3876.1538085938,5768.3334960938,6812.5639648438,8132.4360351563,524.6153564453,4921.2822265625,6838.8461914063,5647.3076171875,3556.1538085938,4367.0512695313,8135.5126953125,3914.2307128906,4353.3334960938,3575.2563476563,4926.7949218750,,,
